,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
AGPAT3,133,black,black,0,0.3726880760067418,0.011089833497853412,0.2406839054190204
AGT,86,black,black,0,0.8608003071518562,0.021192845408322974,0.26720500595812857
AGXT,77,black,black,0,0.8773644065498624,0.06282751643067847,0.18996239421871663
AHCTF1,134,black,black,0,0.4174664942533185,-0.37706563015492867,0.4442304576992099
AHNAK,141,black,black,0,-0.3828168996717362,-0.04024739039236318,-0.0449546035498191
AHR,132,black,black,0,0.39263255385620394,-0.1941264790673586,0.3543240678901994
AHSG,103,black,black,0,0.7208308256104266,0.040338323710995126,0.19539332001580215
AIG1,119,black,black,0,0.5938531748177507,-0.004823354041219838,0.3175161855511276
AKAP13,141,black,black,0,-0.26448295301421265,-0.3897239873527845,0.4876706807595251
AKAP9,141,black,black,0,0.00416123099018343,-0.43618509689924795,0.4237782598211031
AKR1C1,102,black,black,0,0.631631185120503,-0.006460136771291709,0.1929387697800797
AKR1C2,78,black,black,0,0.9409348347268799,-0.0015309206157494925,0.2973288003921796
AL135905-2,75,black,black,0,0.9468117032301612,0.0295293986942551,0.243758008893952
AL391117-1,125,black,black,0,0.2907077589222319,-0.22726171562405048,0.39250831897463656
ALAS1,96,black,black,0,0.593000510211363,-0.09124138282664784,0.1123193288474412
ALB,138,black,black,0,0.6451514177773011,0.08870350854882189,0.3586215327538236
ALCAM,115,black,black,0,0.727122634190463,-0.2700153279790585,0.616839658927407
ALDH1A1,119,black,black,0,0.6190097113772633,-0.08563299584265037,0.29114930749051415
ALDH1L1,84,black,black,0,0.7791938781682217,-0.06461394048961537,0.1854444698916824
ALDH2,106,black,black,0,0.7448224058394941,-0.13954409522081637,0.40788194168860414
ALDH3A2,97,black,black,0,0.7369663137640727,-0.08499179165671888,0.24833742424498595
ALDOB,88,black,black,0,0.8893630808904813,-0.009200491009143953,0.29907070625816173
AMBP,102,black,black,0,0.7580586043148947,0.11126922437071156,0.17383990181458514
ANG,79,black,black,0,0.7324833721949511,0.13480406032195152,0.09559871179704202
ANGPTL3,81,black,black,0,0.8434126485291148,0.0969483723745782,0.18278618197558755
ANKH,125,black,black,0,0.45598669641376555,0.08911985780192343,0.26101380687030534
ANKHD1,141,black,black,0,-0.1194014825117663,-0.3389571566607018,0.294877335471506
ANKIB1,137,black,black,0,0.4113758682877213,-0.3589409004894204,0.4813057060445582
ANKRD11,141,black,black,0,-0.49182473614622224,-0.44032967874484735,0.15996898336611337
ANKRD12,141,black,black,0,-0.1935730443528787,-0.5484472927117625,0.4915444523617217
ANKRD17,140,black,black,0,0.3914369220993169,0.029432466513359425,0.3256777068542524
ANKRD28,129,black,black,0,0.4155824058026552,-0.3750522681834355,0.5206970090107504
ANKRD44,141,black,black,0,-0.7653793584671639,-0.20848178582113203,0.02474527264152238
ANKS1A,134,black,black,0,0.6022831314908811,-0.07322417722627476,0.3206483090570101
ANO6,129,black,black,0,0.5582458081452829,-0.14291580979596633,0.4462718704616727
AOPEP,134,black,black,0,0.6640324080373928,-0.33740549230124767,0.5830505311889013
AOX1,96,black,black,0,0.7694527471679382,-0.07841255085111584,0.29800227122215417
AP3B1,140,silver,silver,2,0.3900668618535219,-0.35266960139097797,0.45840992676008563
APCS,81,black,black,0,0.8775811095049101,0.07127466752124495,0.21004602297552033
APLP2,127,black,black,0,0.6043086240986095,-0.17838082105426634,0.36970439772314323
APMAP,124,silver,silver,2,0.2432996671427125,0.20234821718552745,-0.20696219242542183
APOA1,112,black,black,0,0.669775383694771,0.04481334633300942,0.43721434436778
APOA2,137,black,black,0,0.5065873633488838,0.17761072366431754,-0.16173752975892058
APOB,111,black,black,0,0.8475005441546297,-0.17704107968363145,0.5237697461604197
APOC1,134,black,black,0,0.5917288559921143,0.36116447247704986,-0.05257895041020258
APOC2,103,black,black,0,0.7733147305215416,0.08135525220579573,0.239186450479951
APOC3,117,black,black,0,0.7312185942041699,0.06261504493419974,0.21234346444334665
APOC4,82,black,black,0,0.6402944120702047,-0.0003290271462880069,0.07207830515626572
APOE,115,black,black,0,0.7420660975856646,0.12808547325745717,0.24616672717146657
APOH,107,black,black,0,0.6544995784466787,0.025007181436490167,0.10586838962715857
APP,118,black,black,0,0.8072386195102652,-0.3578257625870995,0.6363482940739655
AQP9,75,black,black,0,0.7216582329219937,0.019952889788000496,0.15854910378903098
AR,90,black,black,0,0.7852615482376246,-0.017983177863180773,0.32319912891732644
ARF1,121,black,black,0,0.4850961499566381,0.21360031661669157,-0.012933511123232815
ARFGEF1,138,black,black,0,0.48864711701707436,-0.26103105053393466,0.49739727153324576
ARFGEF2,127,black,black,0,0.5489161878332925,-0.17013198537690957,0.3994879264256939
ARGLU1,131,black,black,0,0.5063820033848258,-0.31390556533205277,0.31600331842699453
ARHGAP15,141,black,black,0,-0.7097143534214793,-0.18878756689705545,0.1245053026909205
ARHGAP26,141,black,black,0,-0.4146814569624572,-0.19251605603660354,0.12133105313177138
ARHGAP35,140,silver,silver,2,0.09390005678490736,-0.24820944928727623,0.24844413634715543
ARHGAP5,119,black,black,0,0.6815836967245684,-0.2545743856849618,0.49459571632924604
ARHGEF12,126,black,black,0,0.7114459544006684,-0.25935004052033955,0.511087643201741
ARID1B,141,black,black,0,0.5001312753411858,-0.30943402924693025,0.6370519537987123
ARID2,140,silver,silver,2,0.22704397891186795,-0.2942473670043241,0.5679785266157636
ARID4B,141,black,black,0,-0.7001131494261397,-0.33577091766421213,0.012976016159752175
ARID5B,140,silver,silver,2,-0.017479694667635114,-0.32084286128576367,0.3896667120105783
ARIH1,141,black,black,0,-0.40992833630496295,0.014417928473636588,0.07276020014798824
ARL15,140,silver,silver,2,-0.019901597715688148,-0.20583143261407041,0.19032067088705798
ASAP1,137,black,black,0,0.5928178798574621,-0.31184475446879434,0.5301353672719108
ASCC3,138,black,black,0,0.5113342971374034,-0.23541305646811164,0.4673456115899459
ASGR1,77,black,black,0,0.784152275300473,-0.007758990078100594,0.13818491434148672
ASH1L,141,black,black,0,-0.08232905537175667,-0.6524599169376009,0.5067931605719457
ASL,115,black,black,0,0.361236322776825,0.06856263149521775,-0.008886327804111296
ASPH,114,black,black,0,0.7467151424729831,-0.2977418130955411,0.5757791424419013
ASPSCR1,105,black,black,0,0.4300205909114026,0.08907237725959763,-0.018877970059507705
ASS1,85,black,black,0,0.8637712186478852,0.002607073157621824,0.28574332107436745
ASXL1,140,silver,silver,2,0.1908958099055082,-0.18886185772320285,0.38671744180291834
ASXL2,135,silver,silver,2,0.19474102896994056,-0.24918484976247077,0.3387642413391584
ATAD2B,134,silver,silver,2,0.3434225749482796,-0.3985484532595611,0.4891886596344887
ATE1,130,black,black,0,0.545305303780903,-0.2729592620154882,0.4934419659400733
ATF6,136,black,black,0,0.3652362084462067,0.04690146323996171,0.24561039074147487
ATF7IP,141,black,black,0,-0.7144846892968884,-0.30630006342258076,0.014082859948744624
ATG10,135,black,black,0,0.34759141042992353,-0.3276014973088717,0.40715588648878875
ATG7,140,black,black,0,0.08712567200604311,-0.3972926010892281,0.499201997820164
ATM,141,black,black,0,-0.6076868045115832,-0.12975444159791094,0.06675387443601652
ATOX1,120,silver,silver,2,0.1497129710953316,0.27205266966081226,-0.22536718963388858
ATP11B,141,black,black,0,-0.1891073753105691,-0.1847763400179624,0.3518286061860775
ATP13A3,134,black,black,0,0.5955911746897767,-0.29315325234492207,0.47972508277010184
ATP1B1,101,black,black,0,0.7520073055296767,0.04895826901482003,0.242276020302982
ATP2A2,139,black,black,0,0.37906591642973597,-0.3245970027795038,0.3502954239504493
ATP2B1,140,black,black,0,-0.02393171536669574,-0.3592838542572292,0.41570288297345787
ATP2B4,141,black,black,0,-0.47339465008479925,-0.08796736320880573,-0.17319195578958171
ATP5F1B,120,black,black,0,0.36645228614892367,0.1918525305886632,-0.09159335293488177
ATP5F1E,131,dimgrey,dimgrey,1,-0.3768904476282375,0.6320643259878581,-0.6131956243538573
ATP5MC2,129,black,black,0,0.0668770392084565,0.6202851184863557,-0.4352252539949968
ATP9B,138,black,black,0,0.3884036890791764,-0.32802894805968846,0.4369208690850677
ATR,139,silver,silver,2,0.39109256734860776,-0.3034590108415201,0.4170520598941768
ATRN,124,black,black,0,0.6031306296162929,-0.3391945059172901,0.4404080090660457
ATRX,141,black,black,0,-0.0396313674388306,-0.4272887704559246,0.2984882437379
ATXN1,141,black,black,0,-0.47973581939814103,-0.3401875607497648,0.30104293489391765
ATXN10,126,black,black,0,0.6091616028576035,-0.13442117322875757,0.43111916177682913
ATXN2,138,silver,silver,2,0.389506070810822,-0.3255263163841565,0.44185005294935037
AUH,126,black,black,0,0.5093723371804548,-0.3400950514098352,0.4031517789175851
AUTS2,141,black,black,0,0.477873371218303,-0.38436758446060026,0.6129576266068371
AVL9,132,black,black,0,0.5078883774298772,-0.3752934174220055,0.523149807414939
AZGP1,86,black,black,0,0.8672107948191505,-0.04036770687023127,0.28474292966446924
B2M,141,black,black,0,-0.7007436930650909,0.7365194776478969,-0.7835600896114736
B4GALT1,139,black,black,0,0.258100363715563,0.0016611836649149084,0.12095733946532698
BAAT,90,black,black,0,0.8353007609438844,-0.06448371470649317,0.2772220343510849
BABAM2,140,black,black,0,0.40794145019706124,-0.30998538750425514,0.5036184106325452
BACH1,135,black,black,0,0.5430090155823303,-0.38070056004454084,0.55789801126856
BAZ1A,141,black,black,0,-0.7496545045507461,-0.18780734621166642,0.006472323130790868
BAZ2B,139,black,black,0,0.5181885228148065,-0.17192297595719527,0.415505581704933
BBX,141,black,black,0,0.41982045117355044,-0.2669513299096573,0.5343588974573438
BCAS3,140,black,black,0,0.15608268967971298,0.001654307533277005,0.24026107782068315
BCKDHB,124,black,black,0,0.5586426478033637,-0.04932143715360839,0.3837178687026211
BCLAF1,137,silver,silver,2,0.2824234008348736,-0.24834109028985607,0.33806580304633266
BDP1,138,black,black,0,0.30161796181249184,-0.41322609518551134,0.3883242647425381
BHMT2,92,black,black,0,0.7703219125690639,0.053309002122148494,0.20775786455637157
BIRC6,141,black,black,0,0.0670688024742769,-0.4623478486809604,0.5098904972032046
BPTF,141,black,black,0,-0.5539855396868388,-0.22289122924957402,0.1209580869943578
BRAF,139,black,black,0,0.45533743694134954,-0.25499171241471585,0.5139832180045166
BRD4,141,silver,silver,2,0.1265631910694565,-0.3600675154304472,0.3318694729039174
BRI3,117,black,black,0,0.5655413023365599,0.040844063558545,0.16505929634065214
BRWD1,138,silver,silver,2,0.38721941993279335,-0.3170986414704579,0.4105338144513702
BTAF1,137,silver,silver,2,0.32639434459037137,-0.13709909173294346,0.32393193585594876
BTBD9,141,black,black,0,0.07549639859255695,-0.446746214748288,0.6573642983575826
BTG1,141,black,black,0,-0.9242892065034153,0.31420114749385786,-0.49350167392251276
C1ORF43,102,black,black,0,0.607617093535117,0.11694630465834066,0.061800367971690015
C1R,82,black,black,0,0.9220908992069723,-0.016088827509794238,0.36143266854013206
C1S,99,black,black,0,0.8646536909648871,-0.17747537109714953,0.45434464435601185
C2,108,black,black,0,0.6235171430255523,0.046563804380095594,0.21334168346438454
C3,121,black,black,0,0.7467037941130122,0.10052249662436244,0.3077359789129779
C4BPA,87,black,black,0,0.7224585217505894,0.1265957152240799,0.1357979005645685
C4BPB,70,black,black,0,0.6758646122401053,0.10531532738185474,0.029342047830500664
C5,96,black,black,0,0.7788768810318998,-0.09754790402608232,0.2967631659780789
C8A,77,black,black,0,0.8120924608481818,0.014638425311374359,0.19144504811112226
C8G,70,black,black,0,0.7504932387984812,0.10793429876273924,0.08778314848445316
CAB39,137,silver,silver,2,0.2036087700163638,-0.15604639846602555,0.3384338877339581
CADM1,117,black,black,0,0.6120878959032946,-0.20453193763859207,0.40701919486781074
CADPS2,123,black,black,0,0.6636603782835958,-0.20407938648847643,0.5733284906349643
CALD1,116,black,black,0,0.8311688478114172,-0.24704814329416522,0.6127651012845234
CALR,134,black,black,0,0.15973408782453008,0.48410696699186107,-0.29621212498779237
CAMK1D,141,silver,silver,2,0.20977357130096147,-0.4870193956801307,0.7045299218343716
CAMK2D,139,black,black,0,0.44533245575990243,0.14789073052295212,0.3515025256774696
CAMKMT,140,silver,silver,2,0.2885453603875244,-0.11600753133956468,0.39716454448759575
CANX,134,black,black,0,0.4986234283204195,0.09556168375640706,0.12503666237991656
CAPZB,141,black,black,0,-0.13817789914088743,-0.061456531911263136,0.04250619270097565
CASK,139,silver,silver,2,0.28618849924954465,-0.38333112321085777,0.5758209363028401
CAST,137,black,black,0,0.39375313750498,-0.17079242482872115,0.34978412087724986
CAT,101,black,black,0,0.637446387490102,0.18381520306405016,0.0908139371778267
CBLB,141,black,black,0,-0.5288089238048944,-0.2893275444437636,0.32810145865817814
CCDC50,112,black,black,0,0.7353467076130386,-0.06898964352878165,0.440846955269093
CCDC91,140,black,black,0,0.26766111000363363,-0.048801456325363674,0.4185366200433846
CCND3,141,black,black,0,-0.8937016694988226,-0.05675126908089588,-0.21774503421182023
CCNH,141,black,black,0,-0.38184222852374966,0.08031423102906877,0.20204516842429826
CCNL1,135,black,black,0,0.485579446767472,-0.25848530937184744,0.3896521215978603
CCNY,138,black,black,0,0.5306738701996182,-0.030797718114012287,0.28917521236417404
CCSER2,141,black,black,0,-0.14686193286367052,-0.2891590348036974,0.4318201536662622
CD164,122,black,black,0,0.5469139740731357,0.18106315727723138,0.12939022319146237
CD46,127,black,black,0,0.5241438451392688,0.04283809515585288,0.11899712939271588
CD63,127,black,black,0,0.3402211851546555,0.44238014411147253,-0.18412748555416367
CD74,137,dimgrey,dimgrey,1,-0.021198362999817404,0.6122135568071284,-0.46413874716240067
CD99,138,dimgrey,dimgrey,1,0.25259719127488073,0.43038498688316545,-0.1646290439385547
CDC42BPA,109,black,black,0,0.8347783488920694,-0.23238008585778194,0.5586444288306175
CDC42SE2,141,black,black,0,-0.8942178586039015,-0.1516332925992901,-0.14520769643112283
CDC73,135,black,black,0,0.48421195209832985,-0.08251686893839938,0.35398955397322435
CDK13,141,silver,silver,2,0.2739895184969752,-0.371003793838167,0.5603414971007719
CDK14,131,black,black,0,0.6281296856425891,-0.36630391370534,0.5777807379622716
CDK5RAP2,132,black,black,0,0.4381063143879371,-0.0955902120022927,0.340874457800127
CDK6,140,black,black,0,0.4191615550742049,0.10108168366133685,0.2528875093897659
CDKAL1,141,silver,silver,2,0.2688836745559747,-0.4613171199953802,0.7264089279384182
CDO1,79,black,black,0,0.7997962344912676,0.059604780268614294,0.1422676876050524
CEBPD,116,black,black,0,0.5112365087962917,0.37597611557281113,-0.13503964825750103
CELF1,141,black,black,0,-0.020412000346336827,-0.34647221785897686,0.41157120885009446
CELF2,141,black,black,0,-0.860284204509661,-0.08965353188180225,-0.16215181423846556
CEMIP2,141,black,black,0,-0.8104035604334643,0.1471843628409033,-0.49000410748259304
CEP350,138,black,black,0,0.33345319019147374,-0.3141746076246685,0.4002620835376757
CERS2,90,black,black,0,0.7729680976495994,0.07450886168528527,0.1584819976254804
CES1,117,black,black,0,0.5855353535416129,0.26193446860288816,0.09751343936167024
CFB,84,black,black,0,0.889598609141614,-0.029642718572731222,0.30080229238863093
CFH,111,black,black,0,0.8300384105771561,-0.20045786565774842,0.5169491124600569
CFHR1,81,black,black,0,0.6520934032118451,0.14187962406978627,0.06279300749221454
CFHR2,74,black,black,0,0.6734952886662053,0.061156570201513834,0.09088589107052657
CFL1,135,black,black,0,-0.2935243413708817,0.7247931607778809,-0.5449662784198568
CFLAR,141,silver,silver,2,0.12677875858564921,-0.06619452899599898,0.15693015525353093
CHCHD2,118,dimgrey,dimgrey,1,0.10426327874522526,0.4379022476067379,-0.3890492498967333
CHCHD3,133,black,black,0,0.5156184505313965,0.02327948253890744,0.30142931192820277
CHD1,141,black,black,0,0.03585392352856757,-0.4656517594486523,0.5695390270853209
CHD2,140,black,black,0,0.11094142183215264,-0.36105376554911517,0.48615553863707534
CHD6,132,black,black,0,0.42796272958623843,-0.28361759827852445,0.33575420467428646
CHD9,139,black,black,0,0.572948510827981,-0.03054422483790613,0.4786903348433439
CHPT1,107,black,black,0,0.6246728823337214,0.05609067216133116,0.19488001341156266
CHST11,141,black,black,0,-0.7479818649796871,-0.28547030338738966,0.12046450129890679
CLASP1,141,black,black,0,0.37972569815612384,-0.5678612567551437,0.5491596860619465
CLASP2,140,black,black,0,0.39770091018284853,0.015444301751481752,0.4246342771031105
CLDN1,81,black,black,0,0.9377858257050959,-0.053232541399881136,0.43248599438507346
CLINT1,130,black,black,0,0.5158874780061742,-0.34525005166098044,0.5190952896923529
CLMN,109,black,black,0,0.77797932748452,-0.02013892787567886,0.3606906053332397
CLTC,134,black,black,0,0.5551824783644588,-0.03231126143975851,0.20179827164118197
CLU,107,black,black,0,0.7776754678283488,0.1088759186883382,0.30361706509735853
CMIP,141,black,black,0,-0.4522453140938714,-0.4193196303181559,0.2438077843240008
CNN3,85,black,black,0,0.8751026719859738,0.04817083901621971,0.26930719310933543
CNOT1,135,black,black,0,0.3070097003039435,-0.2690502418101369,0.2769819784974183
CNOT2,134,black,black,0,0.3987941944213426,0.24585274977953817,0.22068916427341453
CNOT4,134,black,black,0,0.4131316547990128,-0.2559633103833625,0.4339545412341403
CNOT6L,141,black,black,0,-0.8637763196302074,-0.09011970326306024,-0.18175240367994105
CNST,131,black,black,0,0.48101112943879043,-0.16124001214387634,0.32000071943257996
COBLL1,116,black,black,0,0.7385068778494946,-0.1519362101039991,0.456850919133069
COG5,138,silver,silver,2,0.24691334061397527,-0.23600812752377198,0.34379978279846385
COL18A1,94,black,black,0,0.8901512648737309,-0.05278767312150556,0.39138276746937295
COMMD10,130,black,black,0,0.5461180129090748,-0.07991498669760659,0.44284686904700216
COP1,141,black,black,0,0.4101786493361226,-0.4498471929947924,0.6416255949470167
COPA,135,black,black,0,0.49616282349598334,-0.14986767490627528,0.276454962030519
COX4I1,126,dimgrey,dimgrey,1,0.08129650771480673,0.7854314270885141,-0.48980106549604624
COX5B,107,black,black,0,0.30269990952082454,0.5224022922255688,-0.31128744206085585
COX6A1,115,black,black,0,0.19491401036655986,0.5914452433377283,-0.47681405395727766
COX6C,116,black,black,0,0.17839263227261143,0.6262432809589251,-0.5124316195541828
COX7C,128,dimgrey,dimgrey,1,-0.015795309450171352,0.6561649437300736,-0.5522243698689274
COX8A,108,black,black,0,0.2215930222720246,0.6139624250412342,-0.47887459611867117
CP,103,black,black,0,0.7903504048030748,-0.14684474094335886,0.4786530748542404
CPB2,93,black,black,0,0.8097403353034399,-0.07682038880949246,0.26405478130485205
CPD,133,black,black,0,0.42482440822093853,0.008294615908862551,0.18107211869842843
CPEB4,135,black,black,0,0.4428721405751356,-0.1623450300775753,0.21810744129996806
CPQ,134,black,black,0,0.5468342719114828,-0.1295813998805506,0.3809571529479039
CPS1,106,black,black,0,0.7526616051464659,0.019507410777544167,0.2763319601329836
CPT1A,129,black,black,0,0.3284688448859689,0.0450236611029695,0.07906142033580806
CRADD,131,black,black,0,0.4242129551063441,-0.0671932550894688,0.32773281836242785
CREBBP,140,silver,silver,2,0.18683979252996538,-0.2846061521051895,0.4534434938082572
CSDE1,132,black,black,0,0.4418698480463715,0.22172614567865756,0.17437264213901246
CSNK1A1,139,black,black,0,0.553316588351503,-0.26420341349104187,0.45096301932356675
CST3,126,black,black,0,0.24342320078149252,0.7416407404522827,-0.3672661369193906
CTH,80,black,black,0,0.43890019834657856,0.020277534724029444,-0.008771483920630978
CTNNA1,134,black,black,0,0.5981904700302066,-0.23412625652986804,0.47931004224663765
CTNNB1,138,black,black,0,0.4733626579289182,-0.010245417325485735,0.34478030569763357
CTNND1,125,black,black,0,0.6901457832209901,-0.02610103024707818,0.4370949185848754
CTSB,131,black,black,0,0.3284162071901449,0.17193852010718286,0.19607727370757913
CTSD,131,black,black,0,0.49785931935022437,0.4761171096313507,0.08773000563296748
CUL1,133,black,black,0,0.486561813046942,-0.3178267676643217,0.4070417780706267
CUL3,139,black,black,0,0.3185637556010914,-0.2898467917783913,0.47675791195986844
CUX1,139,black,black,0,0.2445269577477021,-0.4111859596150319,0.5079994952226115
CYB5A,90,black,black,0,0.7894769521112435,0.12099738597479788,0.14231642303947173
CYP27A1,93,black,black,0,0.8112557524239502,-0.002712954825991548,0.30869416498885593
CYP2C9,89,black,black,0,0.8207239495050878,0.04938847201739904,0.19962034779588073
CYP2E1,98,black,black,0,0.6479938323737612,0.30874054111368876,-0.08968689431557962
CYP3A4,78,black,black,0,0.8566115676480185,0.07968988732903004,0.16093514581219273
CYP3A5,84,black,black,0,0.8938437493208046,-0.016705173002540215,0.3327744254007939
CYP4A11,76,black,black,0,0.9287720588201659,0.032901668492519645,0.2596374069049889
CYP4F3,76,black,black,0,0.7266738992819198,0.0925583221687121,0.10660315778004067
CYP51A1,104,black,black,0,0.5307229386170034,0.12208032057521327,0.024472148646439085
CYP8B1,75,black,black,0,0.8066717039849757,0.007023033816112101,0.14969698696884265
CYTH1,141,black,black,0,-0.807750130761729,-0.21967922838857482,-0.1415771212384515
DAAM1,116,black,black,0,0.7416645420115323,-0.08438140271035276,0.43689743637213385
DAP,113,black,black,0,0.656511650653766,-0.08797472659759671,0.28538558529304686
DAPK1,118,black,black,0,0.743119416558116,-0.3064523986581025,0.662309715744034
DCAF6,132,black,black,0,0.6209570118567065,-0.30772883980460836,0.4580130462516146
DCAF8,120,black,black,0,0.5342654336246699,0.10338553607561489,0.11090089206587535
DCXR,99,black,black,0,0.5738101835922199,0.3212511639472894,-0.11431861955869428
DDX17,141,black,black,0,0.4518914057295583,-0.3827759063968371,0.47601416394202
DDX39B,129,black,black,0,0.3983228791047524,0.12665625593695282,-0.0008340846951663904
DDX3X,139,silver,silver,2,0.0784766374160901,-0.1317365108599436,0.1817043434019135
DDX5,141,black,black,0,-0.15286839671169933,-0.017155569064913615,-0.15905989244642174
DECR1,121,black,black,0,0.5684132475091247,-0.06956852763246309,0.29608025754317124
DENND1A,138,black,black,0,0.41617510250623363,-0.3758340305305132,0.4966534637717537
DENND1B,141,black,black,0,-0.16248752823610613,-0.16697423802184713,0.3668048872706888
DENND4A,141,black,black,0,-0.1897122438902314,-0.3285831367779892,0.42774192014976964
DENND4C,140,silver,silver,2,0.23660271870861033,-0.1796708798141226,0.3242361412091944
DENND5B,127,black,black,0,0.5592638440944789,-0.0454694771405634,0.3582711554055129
DHCR24,90,black,black,0,0.7846353694495777,0.11862173693919911,0.18617443445712598
DIAPH1,141,black,black,0,-0.49154269282866336,-0.18435376644669696,-0.04516881127454979
DIAPH2,140,black,black,0,0.4439148700424026,-0.31888812217357043,0.579527184160377
DICER1,126,black,black,0,0.6118194796211391,-0.17445734957684683,0.4141338458752401
DIP2B,137,silver,silver,2,0.3228868039251929,-0.3469525304234929,0.4975736776166985
DLC1,128,black,black,0,0.6556653799695717,-0.14791591598830098,0.4848954968208729
DLEU1,139,black,black,0,-0.13202196781881956,-0.06340435961468391,0.020779274789283424
DLEU2,140,silver,silver,2,0.023939295087934194,-0.26897561562909694,0.31536929518459755
DLG1,136,black,black,0,0.4418184337038323,-0.3345867131749591,0.4645321554295553
DMXL1,134,black,black,0,0.48218713402368923,-0.05276040777132039,0.34910538654707846
DNAJA1,140,black,black,0,-0.750100310305599,0.18418624178998627,-0.42649160350848414
DNAJB6,141,black,black,0,-0.7727588132947681,-0.16787508818998947,-0.10147164074787585
DNAJC1,141,black,black,0,-0.12601655907337622,-0.10761710819014575,0.20352737741737975
DNAJC3,128,black,black,0,0.5091585538358564,0.014810485627667095,0.2443394837909992
DOCK4,126,black,black,0,0.5918462509295909,-0.1667811509260934,0.4894221480788056
DOCK5,128,black,black,0,0.579172192908113,-0.39744986787000525,0.6256059943250275
DPYD,141,black,black,0,0.118112946381045,-0.39079300054661165,0.684849111136199
DSP,93,black,black,0,0.8108764086611149,-0.07439216929433902,0.263305232578658
DST,126,black,black,0,0.7262340409460608,-0.2234226874926759,0.556067606194752
