,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr6-139134612-139135979,8.980583640708551e-10,0.601800106484242,0.218,0.147,6.89951299364715e-05
chr7-44257608-44258462,1.02391549443347e-09,0.975454689606373,0.11,0.06,7.86643556908403e-05
chr1-61742063-61743139,2.3324352525461e-09,1.02915729694802,0.09,0.048,0.0001791940031473
chr4-56530091-56530871,2.4134858615346403e-09,1.32808300303802,0.067,0.027,0.0001854208782841
chr3-38453420-38454441,6.413370373570911e-09,1.09868228726689,0.069,0.034,0.0004927200056903
chr6-46170505-46171264,7.525791039274291e-09,1.2085702664201,0.059,0.026,0.0005781839481743
chr12-89225094-89226079,9.974257992970981e-09,1.21864947674395,0.062,0.029,0.0007662923188259
chr4-139176066-139178649,1.05491675759397e-08,0.456410926270771,0.233,0.179,0.0008104608973567
chr8-27361671-27362656,1.12183287531715e-08,0.886556620036734,0.11,0.061,0.0008618705431199
chr20-4686105-4687394,1.12285637186733e-08,0.571129751325087,0.151,0.108,0.0008626568648145
chr14-76768039-76768811,1.52566308063268e-08,1.34106050911126,0.06,0.025,0.0011721211749576
chr6-44237186-44238316,1.56180032388823e-08,0.556035729219111,0.164,0.121,0.0011998843348336
chr9-120928373-120929320,1.57143729763764e-08,0.676415809698429,0.109,0.072,0.001207288132656
chr7-70693264-70694805,1.6916100215548e-08,1.01680627041886,0.087,0.045,0.0012996132312599
chr11-22829227-22830179,1.78349704252271e-08,0.668157162594096,0.146,0.094,0.0013702072728589
chr1-192808347-192809473,1.85895363507193e-08,0.51657996190037,0.191,0.141,0.0014281783092167
chr15-80152133-80153218,1.909024672543e-08,0.679032178499657,0.165,0.107,0.0014666463851746
chr4-38663088-38665264,2.60466418271501e-08,0.474143413128833,0.225,0.169,0.0020010853516544
chr5-8457215-8458297,2.78679974701608e-08,-1.77222296224951,0.02,0.068,0.00214101464164
chr6-31814203-31815692,2.81159369402953e-08,0.417429332562611,0.202,0.163,0.002160063087312
chr1-27658956-27660267,3.25503401848785e-08,0.538046339698332,0.166,0.119,0.0025007449853836
chr21-10271605-10272550,3.4772652961493e-08,0.99587414580198,0.118,0.059,0.0026714786090726
chr8-143878310-143878599,3.73438777005991e-08,1.26384237188762,0.059,0.025,0.0028690180921039
chr9-129258251-129258707,3.80205390444378e-08,1.17883703468963,0.06,0.027,0.002921003953167
chr16-68448020-68448914,4.63511190609408e-08,0.779145391512632,0.126,0.075,0.0035610174240949
chr6-167114017-167114841,5.53314254851768e-08,1.27441969221324,0.059,0.025,0.0042509474257496
chr13-99605829-99607049,5.63345626505208e-08,0.518366235997514,0.188,0.136,0.0043280154447515
chr19-3154902-3155481,5.71244603102134e-08,1.14047413871657,0.057,0.027,0.0043887009122527
chr1-12152992-12153620,7.35856066081518e-08,1.04937623035402,0.062,0.031,0.0056533613988844
chr15-39629151-39629754,7.46196677245355e-08,1.02310804777688,0.077,0.039,0.0057328052122728
chr8-102238285-102239890,7.7477708507673e-08,0.351142174485034,0.271,0.222,0.0059523799115189
chr2-237603489-237604157,8.93306846816607e-08,0.858670717137731,0.087,0.05,0.0068630085120379
chr1-1745991-1746479,9.69303428670103e-08,-1.60275268181799,0.028,0.086,0.0074468674514438
chr1-15523820-15525425,1.08335295148589e-07,0.313900233845836,0.382,0.322,0.0083230757203806
chr12-6946137-6946810,1.15632781224718e-07,0.870238529262327,0.087,0.05,0.0088837196831513
chr8-133302914-133303736,1.21800077644117e-07,1.15235996882204,0.067,0.031,0.0093575345651645
chr2-169107412-169108626,1.58898476950198e-07,1.06765681360931,0.074,0.036,0.0122076932886528
chr22-23145018-23145728,1.63245076416414e-07,0.698010062188361,0.115,0.073,0.0125416294858439
chr21-45590280-45591255,1.73280399004005e-07,0.905523506613559,0.087,0.046,0.0133126132142807
chr5-132102093-132102645,1.84280053172055e-07,1.08745599088495,0.064,0.031,0.0141576836450495
chr10-80453681-80455131,1.84346783838119e-07,0.483446409219307,0.192,0.144,0.0141628103619312
chr17-76997867-76998643,1.8532183379675e-07,1.01602370139162,0.064,0.032,0.0142377205251029
chr15-45456256-45457015,2.10516069878263e-07,1.01215617022105,0.077,0.039,0.0161733181005373
chr16-53129997-53131982,2.11572542622567e-07,0.410269949528882,0.258,0.203,0.016254483732064
chr3-155862375-155862947,2.15015359262261e-07,1.35107479063863,0.056,0.022,0.0165189850060417
chr1-229253076-229253877,2.33672339498587e-07,1.14318485279314,0.06,0.028,0.017952344826658
chr1-31937376-31938822,2.43932813066885e-07,0.401391979278104,0.211,0.169,0.0187406262294895
chr5-157390043-157390941,2.48273532882376e-07,0.937886886433615,0.084,0.045,0.0190741107107543
chr19-6372275-6373739,2.95446225581424e-07,0.336956367380662,0.303,0.249,0.022698247172744
chr20-10034733-10035372,3.40575340963296e-07,0.850264537420923,0.09,0.052,0.0261653817201871
chr9-98108479-98109311,3.48779704549773e-07,1.03911638029505,0.058,0.03,0.0267956983614454
chr1-43348469-43349668,3.58538286714537e-07,0.953900633839737,0.073,0.038,0.0275454209534177
chr3-17151442-17152418,3.79141392864105e-07,0.722892164025519,0.12,0.075,0.0291282957895706
chr18-51195987-51198470,3.80916658517291e-07,0.322929901136305,0.333,0.284,0.0292646841239079
chr5-142432322-142433333,3.88699373454255e-07,0.907242269788659,0.081,0.043,0.0298626067643701
chr13-23578533-23579874,4.28655409381935e-07,0.61139636433014,0.126,0.084,0.0329323091365859
chr3-46948015-46948764,4.37471548315747e-07,0.769336871714581,0.104,0.064,0.0336096266424539
chr1-202860847-202862077,4.48885981444802e-07,0.97605362247096,0.068,0.037,0.0344865632964598
chr1-1723942-1724563,5.41158170774483e-07,-1.18410575945323,0.048,0.114,0.0415755587860912
chr9-38392330-38392977,5.48252701072971e-07,0.78567180303639,0.093,0.056,0.0421206102653332
chr17-409690-410584,5.76952687065387e-07,-1.26567279497917,0.048,0.118,0.0443255440891725
chr16-89171043-89171795,5.95199840792084e-07,0.601116845047819,0.141,0.097,0.0457274181685334
chr19-3132862-3133911,6.0414571451617e-07,0.664482193769294,0.11,0.07,0.0464147028091338
