,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr8-69834310-69834853,2.2422029055253e-15,4.11942375179559,0.114,0.007,1.72261722622792e-10
chr1-232629294-232630912,2.5373877426544002e-15,1.5452959170452,0.4,0.136,1.9493988810491e-10
chr1-223081216-223081668,4.28726589006832e-15,1.96742215379215,0.286,0.072,3.29377776536279e-10
chr8-124631003-124631453,4.78930909807797e-15,2.03020079344794,0.274,0.065,3.6794825007803603e-10
chr6-13873467-13874076,6.506284017997691e-15,3.27925507153622,0.149,0.015,4.99858282250709e-10
chr1-184626317-184626915,7.63335330055553e-15,2.18209121347757,0.234,0.054,5.8644763402178e-10
chr8-143740002-143740674,9.383784117750661e-15,2.89799896004026,0.171,0.023,7.209279824144301e-10
chr1-202010264-202010646,1.0030933415203e-14,1.92392181767084,0.286,0.074,7.706465214898e-10
chr8-126557154-126558681,1.09946345857107e-14,1.309458265388,0.457,0.184,8.44684791316398e-10
chr19-58033813-58034024,1.61540522535432e-14,5.19119102766073,0.086,0.002,1.24106737248296e-09
chr2-75493229-75493473,2.11798600437576e-14,5.62174699977266,0.08,0.002,1.6271851075817701e-09
chr1-203538023-203538499,2.46209821546621e-14,2.36420888762168,0.211,0.041,1.89155619599623e-09
chr8-143552981-143553934,2.63767501682484e-14,-12.3551811737912,0.0,0.15,2.02644658517602e-09
chr1-203026043-203026823,3.33990782093378e-14,2.18411849754452,0.24,0.052,2.5659509815888e-09
chr13-18211596-18212527,3.38102426714554e-14,1.88643867890655,0.291,0.077,2.5975395137199e-09
chr7-117873077-117873731,3.57626881350401e-14,3.68338735835652,0.12,0.009,2.74754004135073e-09
chr22-42128966-42129748,3.82729508215174e-14,2.87034378102403,0.16,0.022,2.94039599276472e-09
chr20-19757336-19759257,6.04709727808902e-14,2.70030864684268,0.183,0.026,4.6458034258374506e-09
chr1-225652622-225654015,6.20117530139044e-14,1.68582611710559,0.32,0.099,4.7641769487992405e-09
chr1-230425981-230426787,7.22016340558349e-14,1.74568614546026,0.314,0.09,5.547034939607621e-09
chr1-234997140-234997855,7.66343660462564e-14,1.94006601594503,0.269,0.068,5.887588440235741e-09
chr7-124765479-124765991,1.08265699723758e-13,3.47045153122226,0.126,0.011,8.31772891267715e-09
chr8-96589782-96590249,1.17630259951746e-13,2.11846359231331,0.234,0.053,9.037179981312822e-09
chr1-202034298-202035138,1.24047570422951e-13,2.37909096749922,0.2,0.038,9.530202692884042e-09
chr1-198156579-198157830,1.5385053894465999e-13,1.2913116018319,0.457,0.18,1.18198753555014e-08
chr1-178724685-178726528,1.67041456501373e-13,1.36504222964717,0.406,0.157,1.2833293978631e-08
chr1-183022394-183024259,2.2248456394765698e-13,1.48126767910593,0.371,0.129,1.70928215944066e-08
chr8-144526918-144527240,2.73953481240633e-13,2.79195633163813,0.16,0.023,2.10470241032741e-08
chr19-55165992-55166860,3.36111829409996e-13,2.55362415585998,0.177,0.03,2.58224635180817e-08
chr2-105398463-105399290,3.37520509178868e-13,2.73173145952756,0.166,0.024,2.59306881586849e-08
chr12-125983095-125983541,3.60301861048426e-13,3.84444266305359,0.109,0.007,2.76809110787675e-08
chr1-161439744-161440710,4.12263225749391e-13,2.54230419154951,0.171,0.031,3.16729468446485e-08
chr19-16896680-16897862,4.3246059973507597e-13,1.83232959722505,0.286,0.079,3.32246504958467e-08
chr3-141368024-141368577,4.44344145640609e-13,2.27877231085311,0.206,0.041,3.4137627677131e-08
chr2-240233344-240233576,4.69625176097749e-13,3.67272473430622,0.109,0.009,3.60798934040617e-08
chr19-45670836-45671188,4.95290708392553e-13,3.0091730088757,0.143,0.018,3.80516992536747e-08
chr21-10325534-10325892,5.13879396475455e-13,2.30049702682592,0.211,0.04,3.94798123930198e-08
chr20-52972066-52972430,5.77464489182865e-13,4.28211239934707,0.091,0.005,4.4364864310452e-08
chr8-59118705-59119999,5.82903475133692e-13,1.91479389752398,0.274,0.068,4.47827252840961e-08
chr3-128487776-128487984,6.60987721269575e-13,3.81469007754336,0.103,0.007,5.07817036619777e-08
chr8-144373337-144374675,7.5323884431105e-13,1.20571667352664,0.451,0.197,5.78690806918851e-08
chr8-135515250-135516101,9.875639312098399e-13,1.91669414593766,0.257,0.064,7.58715741430584e-08
chr1-169115980-169116606,1.0093062829068399e-12,2.94172708351046,0.143,0.018,7.7541973796884e-08
chr1-171404687-171405340,1.35235690602405e-12,2.56535029754882,0.166,0.028,1.0389752401911e-07
chr19-55156485-55156793,2.04948500475463e-12,4.48499407688412,0.086,0.004,1.57455784460284e-07
chr8-126531602-126531917,2.21317966472319e-12,3.05580002415194,0.131,0.015,1.70031954101688e-07
chr8-144502771-144503052,2.30496101976257e-12,1.64801363199548,0.291,0.093,1.77083240265299e-07
chr1-230728769-230729288,2.36362179734433e-12,2.18971994506087,0.2,0.043,1.81589971824573e-07
chr8-143976016-143977440,2.49943385363532e-12,1.28544317755535,0.411,0.168,1.92024004673241e-07
chr1-155078677-155078969,2.96821033852381e-12,2.36960523328224,0.183,0.034,2.28038695677769e-07
chr8-128554844-128555520,3.00857800762047e-12,1.62958573214711,0.303,0.094,2.31140022591458e-07
chr20-51767031-51767817,3.07226486780787e-12,2.16781745433932,0.2,0.045,2.36032892999075e-07
chr7-45920715-45921185,3.25393905931694e-12,3.48219247070435,0.114,0.009,2.49990376110143e-07
chr20-62641943-62643154,4.38975146348214e-12,1.85258750763832,0.263,0.069,3.37251435684943e-07
chr2-241881167-241882390,4.63200407687339e-12,1.75515580955913,0.274,0.081,3.55862977213952e-07
chr8-100950273-100953478,4.96089425846401e-12,0.769548339906969,0.68,0.403,3.81130623195014e-07
chr22-43110496-43111518,5.00174657733974e-12,2.4337036593803,0.177,0.032,3.8426918429728e-07
chr19-58009448-58009861,5.02320082945562e-12,3.69477715688555,0.097,0.008,3.85917450124587e-07
chr19-49363371-49363847,5.03595265988337e-12,2.2510713230375,0.194,0.041,3.86897135000859e-07
chr7-117862023-117862563,5.2287353326154096e-12,4.25835600738039,0.086,0.004,4.01708049398844e-07
chr7-131555975-131556927,5.25460449252274e-12,2.14729696009331,0.211,0.046,4.03695499347044e-07
chr5-555724-557268,5.258909747055259e-12,2.79776380806387,0.143,0.02,4.04026259137014e-07
chr8-94894244-94896774,5.53869320750821e-12,0.99823051590074,0.543,0.265,4.25521183053233e-07
chr19-58059084-58059619,5.764080818542169e-12,3.14701320075572,0.12,0.014,4.42837037046139e-07
chr22-38153825-38154242,5.79756984184094e-12,2.95818127752332,0.131,0.016,4.45409898239114e-07
chr8-94906209-94906710,6.03516653769306e-12,2.19045382365101,0.2,0.041,4.63663739591344e-07
chr7-141073755-141074314,6.04114974461775e-12,4.41246970748084,0.086,0.004,4.64123411429748e-07
chr10-130300453-130301859,6.5138883961111995e-12,2.86197030304241,0.143,0.018,5.00442503808035e-07
chrX-153687489-153688105,6.54054497774158e-12,2.97528529857162,0.131,0.016,5.02490449004952e-07
chr7-101352346-101352644,6.86135075325262e-12,3.01280857536135,0.126,0.016,5.27136994320139e-07
chr7-148527518-148527935,7.113036773759259e-12,2.55721783915177,0.16,0.027,5.46473276217602e-07
chr8-142452729-142453162,7.320807690030609e-12,2.20444558757588,0.194,0.042,5.62435692401982e-07
chr1-182408741-182408954,7.68826279532531e-12,2.75054683469041,0.143,0.021,5.90666165776458e-07
chr8-133296326-133298078,8.39408600596341e-12,1.05434241551502,0.509,0.238,6.44892445580151e-07
chr8-74350044-74350817,1.0320221097528699e-11,1.85788391362942,0.251,0.066,7.92871626259834e-07
chr2-231613725-231614483,1.08009798808251e-11,2.22103779093681,0.189,0.041,8.2980688130415e-07
chr5-95997236-95997684,1.09239766494158e-11,3.37119447925699,0.109,0.01,8.39256354044665e-07
chr8-143733645-143734211,1.1971923400388399e-11,1.86278903968894,0.234,0.063,9.1976695908164e-07
chr1-228646581-228648256,1.20095549570218e-11,2.08600270444208,0.211,0.048,9.22658078683113e-07
chr10-15370794-15371488,1.4206967073065e-11,2.69455596742813,0.149,0.021,1.09147865932237e-06
chr1-235074660-235075474,1.4437442674509298e-11,1.90401359766507,0.223,0.061,1.10918540835452e-06
chr7-69597330-69598656,1.49732517118016e-11,1.96830876694173,0.223,0.056,1.15035000926258e-06
chr1-147224563-147225712,1.60702727028312e-11,1.57139323135478,0.297,0.098,1.23463084094041e-06
chr8-144826457-144827866,1.6701599251399097e-11,0.924145499261908,0.589,0.293,1.28313376568724e-06
chr7-76282405-76282694,1.7062616015650097e-11,3.42318830435196,0.103,0.01,1.31086960063435e-06
chr19-49133249-49133976,1.7226862066972697e-11,2.98240315135126,0.131,0.015,1.32348813201931e-06
chr1-231039265-231041215,1.8061456860907597e-11,1.80974433507607,0.251,0.07,1.38760754625295e-06
chr14-99792895-99793806,1.82936303404111e-11,2.70883580516766,0.149,0.021,1.40544473816276e-06
chr8-143245695-143247293,1.8793778969077e-11,1.13914640607578,0.474,0.201,1.44386965685728e-06
chr8-131841492-131842469,1.89682956871596e-11,1.67913892160103,0.269,0.082,1.45727725275741e-06
chr19-3284804-3285989,1.90347844089025e-11,1.73721453910171,0.257,0.076,1.46238538178275e-06
chr1-184386288-184388084,2.3181417317089298e-11,1.63028184343222,0.291,0.092,1.78095874822002e-06
chr8-141127716-141129273,2.3655321137725196e-11,1.37744455346237,0.371,0.136,1.81736735704801e-06
chr9-32004481-32004817,2.38838198996958e-11,4.64281391670702,0.074,0.003,1.83492223143393e-06
chr19-2034857-2035291,2.46325681782653e-11,2.56912992066706,0.149,0.025,1.89244631543159e-06
chr8-97774966-97776681,2.8023304970781298e-11,1.61960835358822,0.286,0.09,2.15294645099021e-06
chr1-157045266-157046492,2.8586086272736697e-11,1.37050446067831,0.354,0.132,2.19618325007554e-06
chr6-106973719-106975426,3.5077416653041495e-11,2.43131570318411,0.166,0.029,2.69489268920322e-06
chr1-244047620-244049863,3.65202588020522e-11,0.974229463431345,0.537,0.264,2.80574192298526e-06
chr1-173916883-173917446,4.26699588138169e-11,1.97615440679965,0.211,0.052,3.27820492578911e-06
chr1-164558570-164559304,4.871729074229489e-11,2.06453621595542,0.194,0.046,3.74280329585829e-06
chr19-46015094-46015631,4.9382677186739e-11,2.95757003017907,0.126,0.015,3.7939229402256e-06
chr1-182291649-182291894,4.9421192510465795e-11,2.72413492729547,0.137,0.02,3.79688195700156e-06
chr9-88706679-88706944,5.2717430352780495e-11,4.22227979817678,0.08,0.004,4.05012202171307e-06
chr13-23578533-23579874,5.94758195067896e-11,1.82145851104909,0.251,0.065,4.56934878524813e-06
chr3-42501679-42502823,6.42826278319739e-11,1.93208170212388,0.223,0.055,4.93864144844706e-06
chr8-144444562-144444835,6.47539135752834e-11,1.92501084299845,0.217,0.056,4.97484891824829e-06
chr1-156369068-156369354,7.00462483133704e-11,2.27173522887967,0.166,0.034,5.38144311917131e-06
chr19-56507455-56508237,7.643852601477059e-11,2.36463004611359,0.16,0.031,5.87254263813678e-06
chr19-56477361-56477915,8.27513411404671e-11,3.94209522472052,0.08,0.005,6.35753728579867e-06
chr8-143281218-143281870,8.37680844125418e-11,1.73714600528622,0.24,0.073,6.43565062116235e-06
chr1-234643072-234643550,8.660468045427289e-11,2.2055163369835,0.171,0.037,6.65357778526043e-06
chr8-85463211-85464387,8.691353782352301e-11,1.18179186392455,0.406,0.174,6.6773063703678e-06
chr7-97006062-97006427,8.886522382201309e-11,3.32304925082142,0.103,0.01,6.8272485505738e-06
chr3-127304503-127304703,9.03253930737686e-11,3.82423178570272,0.086,0.006,6.93942897367842e-06
chr1-168834313-168834666,9.260315350714619e-11,2.71236490364231,0.131,0.02,7.11442247449352e-06
chr1-227728106-227728982,1.04204266480405e-10,1.5821083460305,0.274,0.09,8.0057011808901e-06
chr5-127029537-127031309,1.06216009446992e-10,1.45981669231642,0.337,0.113,8.16025735778403e-06
chr1-244969500-244971454,1.08381581619267e-10,0.891871600322563,0.566,0.295,8.32663177106342e-06
chr19-17605731-17606713,1.10804703107824e-10,2.15687324130508,0.183,0.04,8.51279292566479e-06
chr1-203661550-203661870,1.12181418864635e-10,2.27262436887601,0.166,0.034,8.61856186711328e-06
chr8-143577902-143578698,1.12222922119616e-10,1.25927767169563,0.371,0.152,8.62175043768377e-06
chr1-228457110-228458750,1.1346241159141901e-10,1.4332787488582,0.32,0.117,8.71697669533392e-06
chr7-63899653-63901311,1.13481868096165e-10,1.56484992226366,0.28,0.092,8.71847148022407e-06
chr8-144472418-144472863,1.28261631130843e-10,1.93105806263678,0.206,0.053,9.85395633488926e-06
chr8-100559026-100559925,1.53218796953783e-10,1.23269650658771,0.389,0.157,1.17713405135683e-05
chr1-236844549-236844910,1.70645488161635e-10,2.96794140936509,0.114,0.014,1.31101809189939e-05
chr3-184561134-184561802,1.78070267484803e-10,1.82888818076832,0.229,0.062,1.3680604440055e-05
chr1-215566985-215568155,1.86216530198422e-10,1.62028881796655,0.257,0.082,1.43064573655542e-05
chr8-102862646-102864802,1.91003782175736e-10,0.812860004977378,0.617,0.337,1.46742475732153e-05
chr3-138833982-138835205,1.9622612099467302e-10,1.20583166614264,0.389,0.165,1.50754641976577e-05
chr8-144684746-144686145,2.05501714743474e-10,1.31402275364647,0.337,0.134,1.57880802385969e-05
chr7-103989110-103989532,2.14721291306474e-10,4.26061832153852,0.074,0.004,1.64963926472024e-05
chr7-5282788-5282994,2.20034199676089e-10,3.72279847107303,0.086,0.006,1.69045674585149e-05
chr1-203186559-203187001,2.21833443392663e-10,3.62095649846967,0.086,0.007,1.70427979555281e-05
chr7-332498-332934,2.26639309548221e-10,2.74618124436395,0.12,0.018,1.74120182346612e-05
chr6-42104116-42104713,2.28523254541304e-10,2.22829414753048,0.171,0.035,1.75567560766448e-05
chr1-228837786-228838736,2.3060861709216e-10,1.74639134833022,0.229,0.067,1.77169682253394e-05
chr8-96493504-96494364,2.52070978955298e-10,1.47031316629852,0.286,0.103,1.93658571001986e-05
chr19-3275460-3276614,2.61559982599728e-10,1.80500993294271,0.234,0.063,2.00948687831893e-05
chr1-180229242-180230335,2.7511943648779005e-10,2.44121348174585,0.149,0.026,2.11366009470475e-05
chr19-50724407-50725237,2.7552724333406203e-10,1.97522198166463,0.2,0.049,2.11679315236259e-05
chr1-234477918-234479320,3.01891425887175e-10,1.26565609068686,0.366,0.146,2.3193412576634e-05
chr8-81721108-81721565,3.0457363063127e-10,1.28073613281075,0.349,0.141,2.33994783205086e-05
chr1-156751075-156752246,3.16210923949453e-10,1.13745353434113,0.417,0.182,2.42935366542646e-05
chr6-8652036-8652961,3.34744501494674e-10,1.58393440571135,0.251,0.085,2.57174158163314e-05
chr1-155050331-155052343,3.3893399299241e-10,1.00273769922946,0.491,0.231,2.60392818796279e-05
chr18-80147184-80148213,3.3912433195367003e-10,1.96754336550317,0.194,0.049,2.60539050510046e-05
chr3-114764263-114764496,3.39148262821681e-10,2.8706313371738,0.114,0.015,2.60557435878013e-05
chr8-63038437-63039585,4.06648491859368e-10,1.24952632456369,0.354,0.149,3.12415836840796e-05
chr3-38454656-38455556,4.19553308622436e-10,2.09975541920358,0.171,0.04,3.22330220415359e-05
chr11-63427886-63428634,4.1970315729007403e-10,3.61619400367435,0.086,0.007,3.22445344651245e-05
chr1-159900017-159900333,4.23075859065749e-10,2.98293287380386,0.109,0.013,3.25036490244443e-05
chr1-225881551-225882868,4.30905026399435e-10,1.36859315402399,0.326,0.12,3.31051404631894e-05
chr2-17878429-17878767,4.579538375196e-10,3.02686832216384,0.103,0.013,3.51832194751183e-05
chr20-32018269-32019242,4.699951097587901e-10,2.77471266539527,0.12,0.017,3.61083142974385e-05
chr3-129120284-129122330,4.77433795583952e-10,0.939645269934899,0.52,0.256,3.66798062133282e-05
chr22-30079959-30080222,5.55009844214362e-10,4.53627271850587,0.063,0.003,4.26397413014568e-05
chr3-133742443-133743209,5.64649154220941e-10,1.81874314863884,0.206,0.058,4.33803005713322e-05
chr19-17830845-17831072,5.826710691221201e-10,3.48809400624298,0.086,0.008,4.47648702274451e-05
chr8-144094488-144096271,5.90520761381854e-10,1.0120823584678,0.451,0.224,4.53679385346837e-05
chr8-128141804-128142212,5.94441438693269e-10,2.20508733745082,0.16,0.034,4.56691524104878e-05
chr8-144786481-144787526,5.981395324022061e-10,1.13161043771123,0.411,0.178,4.59532658558643e-05
chr5-135263150-135263590,6.04774565179493e-10,2.02686536962914,0.183,0.043,4.64630155190449e-05
chr1-229341856-229343387,6.349556173791201e-10,1.126041853701,0.411,0.182,4.87817352163857e-05
chr5-134506119-134506439,6.46818927973667e-10,1.72187080681852,0.223,0.066,4.96931577794329e-05
chr1-201905169-201905821,6.73528085897088e-10,1.96849108458427,0.189,0.046,5.17451422552156e-05
chr22-30396777-30397521,7.008600939327041e-10,2.23590459829323,0.16,0.032,5.38449784365679e-05
chr22-19607311-19607699,7.22041789175924e-10,2.81480934704383,0.114,0.016,5.54723045370187e-05
chr3-146222337-146223009,7.69664495221469e-10,2.38728940374918,0.137,0.027,5.91310141743798e-05
chr8-131903585-131905046,7.90913469383896e-10,1.14774703736677,0.406,0.172,6.07635091123566e-05
chr8-97849126-97850054,8.33695584367574e-10,1.34395125919123,0.303,0.12,6.40503306602076e-05
chr2-219552071-219552844,8.43777284310687e-10,2.1487041041116,0.166,0.037,6.48248774217371e-05
chr8-125451902-125452378,8.66666577495782e-10,1.78864944051022,0.211,0.059,6.65833931492684e-05
chr8-133428772-133429399,8.98972831680884e-10,1.58354440111776,0.251,0.081,6.90653857395473e-05
chr7-100895703-100896129,9.32052371846982e-10,2.76512335668076,0.114,0.017,7.16067875718881e-05
chr1-184792253-184792927,9.86575430625056e-10,1.77760114467683,0.211,0.06,7.57956306086312e-05
chr1-205319463-205319791,9.97366865655726e-10,2.18820034122421,0.16,0.034,7.66247041877325e-05
chr1-167913813-167914324,9.99241462014669e-10,1.89943400187035,0.189,0.05,7.6768723802201e-05
chr8-143368199-143369693,1.00192743162917e-09,1.11569548631882,0.4,0.181,7.69750787897746e-05
chr8-141417651-141418003,1.0082141585701301e-09,2.99433289382159,0.103,0.013,7.74580691604673e-05
chr19-703385-704494,1.00836011548003e-09,1.7921606844123,0.223,0.061,7.74692825919845e-05
chr8-80485290-80487520,1.0105879888948202e-09,0.886419887352377,0.526,0.275,7.76404434228222e-05
chr5-132813229-132814400,1.04092427508638e-09,2.0776477354347,0.166,0.039,7.9971089282061e-05
chr1-151265370-151266141,1.10801978584808e-09,1.73870083578986,0.211,0.063,8.51258360873506e-05
chr8-108082303-108083279,1.12216550763961e-09,2.71321744035293,0.12,0.017,8.6212609455428e-05
chr2-70900336-70900660,1.16873261988533e-09,3.43596738530853,0.086,0.008,8.97902209879302e-05
chr8-92964797-92966266,1.16926133885121e-09,1.11177170404123,0.394,0.18,8.98308408799217e-05
chr7-124764409-124765170,1.17821696004651e-09,3.50469141395783,0.086,0.007,9.0518874389493e-05
chr1-219883910-219884200,1.26381392138021e-09,2.29635590975384,0.149,0.029,9.70950321378771e-05
chr8-122082011-122082262,1.27108158120472e-09,2.06963140277973,0.166,0.039,9.76533846392151e-05
chr1-212608015-212609499,1.3557487480333e-09,0.937774732617156,0.491,0.248,0.0001041581090651
chr22-20298619-20299990,1.36778266693472e-09,1.52163118654542,0.269,0.09,0.0001050826389525
chr8-134831338-134833058,1.41501969652494e-09,0.869156876255989,0.537,0.281,0.0001087117182249
chr8-127735947-127736380,1.42823912003111e-09,1.53364286119443,0.257,0.087,0.0001097273268746
chr14-50943924-50945077,1.4303164512532502e-09,1.92846768075569,0.189,0.048,0.0001098869220004
chr1-155127190-155127924,1.4430721893054401e-09,1.31162346948121,0.314,0.124,0.0001108669070877
chr7-25862120-25862855,1.4721461771512601e-09,2.41640807443923,0.143,0.025,0.000113100574352
chr1-203536978-203537358,1.4730017028357e-09,2.14094220685617,0.16,0.035,0.0001131663018237
chr1-234522545-234523845,1.48292504422425e-09,1.48223974010349,0.263,0.095,0.0001139286823726
chr8-140634966-140636327,1.5071419688518302e-09,1.01920665594003,0.446,0.212,0.0001157891960409
chr1-146019124-146019736,1.5470180303742901e-09,2.4710258882358,0.131,0.023,0.0001188527542195
chr1-200738463-200739812,1.5551848915106101e-09,1.39937409894226,0.286,0.108,0.00011948018966
chr17-48995907-48996562,1.5700722188076102e-09,3.67141505240282,0.08,0.006,0.0001206239383543
chr17-39573450-39573971,1.5905514039011402e-09,2.62181050826486,0.12,0.019,0.0001221972927075
chr1-207088751-207089168,1.6445704058589502e-09,1.93866609705568,0.183,0.046,0.0001263474105709
chr3-79018821-79019486,1.67276517966193e-09,3.09448646579786,0.097,0.011,0.0001285135304578
chr19-35845446-35845854,1.6995751429947901e-09,3.61666359255052,0.08,0.006,0.0001305732595108
chr20-46021575-46022241,1.7998095030588102e-09,2.71391619199779,0.114,0.017,0.0001382739646915
chr1-182432362-182432669,1.82308517926328e-09,2.19037753804155,0.154,0.032,0.0001400621650672
chr6-32148734-32148944,1.91863213281478e-09,2.69837708176428,0.12,0.017,0.0001474027508677
chr7-46714034-46714237,1.96453557046044e-09,2.95592044495521,0.097,0.013,0.0001509293742717
chr3-49719190-49719858,2.01469346511212e-09,1.7233931646596,0.234,0.064,0.0001547828548441
chr8-97162970-97163690,2.04902304111826e-09,1.79444883036775,0.2,0.056,0.0001574202931799
chr5-179023384-179024173,2.0752191332068604e-09,1.73904159738207,0.217,0.063,0.0001594328603468
chr1-151838165-151838882,2.07739355967601e-09,2.21408426497902,0.154,0.032,0.0001595999150092
chr7-100177046-100177847,2.0973236436435503e-09,1.60964347084431,0.251,0.077,0.0001611310835702
chr7-25950707-25951707,2.13886662218217e-09,1.3455060843973,0.303,0.116,0.0001643227059823
chr3-53160624-53161466,2.1940981410500103e-09,1.22524666754903,0.354,0.143,0.0001685659778824
chr1-154328392-154328908,2.2520431732512403e-09,1.72555149800426,0.223,0.064,0.0001730177208713
chr8-143300649-143300867,2.2579085419095103e-09,2.00241677450752,0.171,0.041,0.0001734683395492
chr12-122203319-122204051,2.2601637256669803e-09,2.28015827426919,0.149,0.03,0.0001736415985518
chr1-204151626-204152365,2.2796629407446803e-09,1.40033075474027,0.28,0.105,0.0001751396647485
chr7-12686294-12687878,2.33493736635155e-09,1.02217764391015,0.446,0.211,0.0001793862330446
